timestamp,agent.name,rule.description,rule.level,rule.id
"Dec 14, 2025 @ 12:19:55.355",DESKTOP-T2IA3AS,Registry Value Integrity Checksum Changed,5,750
"Dec 14, 2025 @ 12:19:55.339",DESKTOP-T2IA3AS,Registry Value Integrity Checksum Changed,5,750
"Dec 14, 2025 @ 12:19:55.323",DESKTOP-T2IA3AS,Registry Value Integrity Checksum Changed,5,750
"Dec 14, 2025 @ 12:19:55.307",DESKTOP-T2IA3AS,Registry Value Integrity Checksum Changed,5,750
"Dec 14, 2025 @ 12:19:55.291",DESKTOP-T2IA3AS,Registry Key Integrity Checksum Changed,5,594
"Dec 14, 2025 @ 12:19:55.277",DESKTOP-T2IA3AS,Registry Value Integrity Checksum Changed,5,750
"Dec 14, 2025 @ 12:19:55.260",DESKTOP-T2IA3AS,Registry Value Integrity Checksum Changed,5,750
"Dec 14, 2025 @ 12:19:55.253",DESKTOP-T2IA3AS,Registry Value Integrity Checksum Changed,5,750
"Dec 14, 2025 @ 12:19:55.252",DESKTOP-T2IA3AS,Registry Key Integrity Checksum Changed,5,594
"Dec 14, 2025 @ 12:19:51.682",DESKTOP-T2IA3AS,Non service account logged off.,3,67023
"Dec 14, 2025 @ 12:19:51.666",DESKTOP-T2IA3AS,Non service account logged off.,3,67023
"Dec 14, 2025 @ 12:19:51.650",DESKTOP-T2IA3AS,Non service account logged off.,3,67023
"Dec 14, 2025 @ 12:19:51.634",DESKTOP-T2IA3AS,Non service account logged off.,3,67023
"Dec 14, 2025 @ 12:19:51.619",DESKTOP-T2IA3AS,Special privileges assigned to new logon.,3,67028
"Dec 14, 2025 @ 12:19:51.605",DESKTOP-T2IA3AS,Non network or service local logon.,3,67022
"Dec 14, 2025 @ 12:19:51.588",DESKTOP-T2IA3AS,Non network or service local logon.,3,67022
"Dec 14, 2025 @ 12:19:51.566",DESKTOP-T2IA3AS,User account changed,8,60110
"Dec 14, 2025 @ 12:19:51.563",DESKTOP-T2IA3AS,Special privileges assigned to new logon.,3,67028
"Dec 14, 2025 @ 12:19:51.560",DESKTOP-T2IA3AS,Non network or service local logon.,3,67022
"Dec 14, 2025 @ 12:19:51.555",DESKTOP-T2IA3AS,Non network or service local logon.,3,67022
"Dec 14, 2025 @ 12:19:51.545",DESKTOP-T2IA3AS,User account changed,8,60110
"Dec 14, 2025 @ 12:19:25.636",DESKTOP-T2IA3AS,Logon Failure - Unknown user or bad password,5,60122
"Dec 14, 2025 @ 12:19:23.980",DESKTOP-T2IA3AS,Logon Failure - Unknown user or bad password,5,60122
"Dec 14, 2025 @ 12:19:22.689",DESKTOP-T2IA3AS,Logon Failure - Unknown user or bad password,5,60122
"Dec 14, 2025 @ 12:19:20.431",DESKTOP-T2IA3AS,Logon Failure - Unknown user or bad password,5,60122
"Dec 14, 2025 @ 12:18:40.645",DESKTOP-T2IA3AS,Registry Value Integrity Checksum Changed,5,750
"Dec 14, 2025 @ 12:18:40.629",DESKTOP-T2IA3AS,Registry Value Integrity Checksum Changed,5,750
"Dec 14, 2025 @ 12:18:40.613",DESKTOP-T2IA3AS,Registry Value Integrity Checksum Changed,5,750
"Dec 14, 2025 @ 12:18:40.597",DESKTOP-T2IA3AS,Registry Value Integrity Checksum Changed,5,750
"Dec 14, 2025 @ 12:18:40.581",DESKTOP-T2IA3AS,Registry Key Integrity Checksum Changed,5,594
"Dec 14, 2025 @ 12:18:40.565",DESKTOP-T2IA3AS,Registry Value Integrity Checksum Changed,5,750
"Dec 14, 2025 @ 12:18:40.549",DESKTOP-T2IA3AS,Registry Value Integrity Checksum Changed,5,750
"Dec 14, 2025 @ 12:18:40.543",DESKTOP-T2IA3AS,Registry Value Integrity Checksum Changed,5,750
